"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","HUR","TOT","PC_LF","Q","2021-Q2",6.49264,"E"
"OECD","HUR","TOT","PC_LF","Q","2021-Q3",5.894225,"E"
"OECD","HUR","TOT","PC_LF","Q","2021-Q4",5.496678,"E"
"OECD","HUR","TOT","PC_LF","Q","2022-Q1",5.194079,"E"
"OECD","HUR","TOT","PC_LF","Q","2022-Q2",4.969737,"E"
"OECD","HUR","TOT","PC_LF","Q","2022-Q3",4.888817,"E"
"G-7","HUR","TOT","PC_LF","Q","2021-Q1",5.75636,"E"
"G-7","HUR","TOT","PC_LF","Q","2021-Q2",5.537323,"E"
"G-7","HUR","TOT","PC_LF","Q","2021-Q3",5.003517,"E"
"G-7","HUR","TOT","PC_LF","Q","2021-Q4",4.500647,"E"
"G-7","HUR","TOT","PC_LF","Q","2022-Q1",4.219049,"E"
"G-7","HUR","TOT","PC_LF","Q","2022-Q2",4.059791,"E"
"G-7","HUR","TOT","PC_LF","Q","2022-Q3",3.973078,"E"
"EA19","HUR","TOT","PC_LF","Q","2021-Q1",8.233334,
"EA19","HUR","TOT","PC_LF","Q","2021-Q2",8.066667,
"EA19","HUR","TOT","PC_LF","Q","2021-Q3",7.5,
"EA19","HUR","TOT","PC_LF","Q","2021-Q4",7.133333,
"EA19","HUR","TOT","PC_LF","Q","2022-Q1",6.866667,
"EA19","HUR","TOT","PC_LF","Q","2022-Q2",6.7,
"EA19","HUR","TOT","PC_LF","Q","2022-Q3",6.633333,
"LVA","HUR","TOT","PC_LF","Q","2021-Q1",7.7,
"LVA","HUR","TOT","PC_LF","Q","2021-Q2",7.866667,
"LVA","HUR","TOT","PC_LF","Q","2021-Q3",7.366667,
"LVA","HUR","TOT","PC_LF","Q","2021-Q4",7.233333,
"LVA","HUR","TOT","PC_LF","Q","2022-Q1",6.933333,
"LVA","HUR","TOT","PC_LF","Q","2022-Q2",6.566667,
"LVA","HUR","TOT","PC_LF","Q","2022-Q3",7,
"LTU","HUR","TOT","PC_LF","Q","2021-Q1",7.6,
"LTU","HUR","TOT","PC_LF","Q","2021-Q2",7.5,
"LTU","HUR","TOT","PC_LF","Q","2021-Q3",6.733333,
"LTU","HUR","TOT","PC_LF","Q","2021-Q4",6.7,
"LTU","HUR","TOT","PC_LF","Q","2022-Q1",6.266667,
"LTU","HUR","TOT","PC_LF","Q","2022-Q2",5.4,
"LTU","HUR","TOT","PC_LF","Q","2022-Q3",5.9,
"COL","HUR","TOT","PC_LF","Q","2021-Q1",14.69951,
"COL","HUR","TOT","PC_LF","Q","2021-Q2",14.54339,
"COL","HUR","TOT","PC_LF","Q","2021-Q3",12.78541,
"COL","HUR","TOT","PC_LF","Q","2021-Q4",13.15147,
"COL","HUR","TOT","PC_LF","Q","2022-Q1",12.18775,
"COL","HUR","TOT","PC_LF","Q","2022-Q2",10.7042,
"COL","HUR","TOT","PC_LF","Q","2022-Q3",10.95758,
"EU27_2020","HUR","TOT","PC_LF","Q","2021-Q1",7.5,
"EU27_2020","HUR","TOT","PC_LF","Q","2021-Q2",7.333333,
"EU27_2020","HUR","TOT","PC_LF","Q","2021-Q3",6.8,
"EU27_2020","HUR","TOT","PC_LF","Q","2021-Q4",6.5,
"EU27_2020","HUR","TOT","PC_LF","Q","2022-Q1",6.233333,
"EU27_2020","HUR","TOT","PC_LF","Q","2022-Q2",6.1,
"EU27_2020","HUR","TOT","PC_LF","Q","2022-Q3",6.1,
"CRI","HUR","TOT","PC_LF","Q","2021-Q1",18.77419,
"CRI","HUR","TOT","PC_LF","Q","2021-Q2",17.99681,
"CRI","HUR","TOT","PC_LF","Q","2021-Q3",15.3132,
"CRI","HUR","TOT","PC_LF","Q","2021-Q4",13.68134,
"CRI","HUR","TOT","PC_LF","Q","2022-Q1",13.57288,
"CRI","HUR","TOT","PC_LF","Q","2022-Q2",11.68134,
"CRI","HUR","TOT","PC_LF","Q","2022-Q3",11.97581,
